"","Sample.1","Sample.2","Sample.3","Sample.4","Sample.5","Sample.6","Sample.7","Sample.8","Sample.9","Sample.10","Sample.11","Sample.12","Sample.13","Sample.14","Sample.15","Sample.16","Sample.17","Sample.18","Sample.19","Sample.20","Sample.21","Sample.22","Sample.23","Sample.24","Sample.25","Sample.26","Sample.27","Sample.28","Sample.29","Sample.30","Sample.31","Sample.32","Sample.33","Sample.34","Sample.35","Sample.36","Sample.37","Sample.38","Sample.39","Sample.40"
"sp|P01780|HV319_HUMAN",68362.95072,99317.52961,195537.1818,138755.4246,125074.5029,100860.8136,107969.7913,132073.6942,100986.517,150449.5474,25510.44804,58369.86861,5265.131922,16238.83658,24255.68067,7613.53219,8318.495461,25973.1912,12528.77671,36832.50318,46847.26641,142559.6752,181672.2131,17492.15453,151780.0275,170803.3196,140135.5121,78641.27599,238578.2268,147917.5851,81484.14962,179766.8483,153927.2754,275374.2188,95432.29871,190497.301,163435.9944,110524.1625,129028.9273,216716.9591
"sp|P01781|HV320_HUMAN",1261927.817,1743359.563,1649417.904,885017.5741,1145906.368,1749346.039,1859153.645,1627802.334,1069558.998,749773.696,1465900.996,950295.5116,1079710.083,818353.9111,1282092.354,908708.7038,787725.9591,1047829.756,1013444.925,1120376.19,1327553.884,1429783.276,1121565.534,1242564.817,739441.1127,1655127.843,1676727.092,1168125.024,846802.3033,1413562.916,1900304.622,1170597.935,1751701.355,905600.6216,1889741.652,2236001.976,468992.5435,1204733.65,1259378.706,1835913.059
"sp|P01834|IGKC_HUMAN",192959107.3,239710995.5,299112846.5,150893021.7,183381615.1,245827875.5,198701317.3,187949069.3,170631421.6,217079942.6,73526570.08,67775305.66,49203253.36,78316309.15,82033339.98,64647914.84,64234031.71,72064380.2,59368507.06,85635357.94,140001133.2,187792174.1,77815824.61,88455268.11,125630627.6,233672631.9,181293423.6,154447622.8,170700187.6,142341119.1,250108028.1,188534260.1,226524482.8,263543200.3,304206140.4,277136966.6,230835620.6,240579641.5,227950621.7,219746486.4
"sp|P01857|IGHG1_HUMAN",169666876.2,204627805.5,254136476.3,163041966.8,219923969.9,240740320.4,211112025.4,179058638.7,179280970.1,192987203.7,69734446.89,91196921.29,49094647.89,98302467.52,100980487.1,72715749.61,78864832.74,85372786.78,86393768.3,115130896.8,143994173.8,162892647.7,89638134.56,92129435.7,128058075.8,198883422.8,184342539.1,127231877.3,172994742.7,130504971.8,201798028.1,100472140.6,178934534.9,146402644.3,185353132.1,118277675.7,134490002.4,137820920.8,168820256.9,103344642.5
"sp|P01859|IGHG2_HUMAN",11296467.47,10608835.02,17302104.54,7449924.466,8502672.582,12499305.25,8115813.321,10658179.89,8467336.247,9493935.106,5060302.881,2773724.358,2486443.179,3045792.125,2842533.61,3122936.758,4142819.879,2716688.64,2890336.106,2887876.76,4666573.968,5033958.986,3437790.777,3808075.777,4058035.257,8429122.503,6349356.763,3199979.433,5617284.59,5250628.371,17662442.34,10409013.13,12396646,18991525.23,15533736.62,18288189.82,15178512.78,19159552.6,12043273.53,15294556.79
"sp|P01860|IGHG3_HUMAN",50376192.12,45187580.01,68414687.09,42374958.33,66251363.81,66751058.8,55119733.92,49305237.39,48599931,54734983.2,18427753.65,21613791.2,11230696.34,25271722.9,27116982.61,17839606.72,22366229.41,20122598.47,21429064.79,28767258.63,44267640.38,46468601.46,30485315.24,35001875.91,38361906.5,58161879.72,58786787.86,41079182.78,46953479.26,39447091.57,56681872.41,35505031.74,50830784.63,44946688.32,55504615.18,32059416.23,39039063.78,38978689.98,52475242.45,33330091.32
"sp|P01861|IGHG4_HUMAN",9857753.512,10020312.52,10210192.21,2116249.491,2919891.507,5555947.583,3722047.253,1656183.257,1608398.216,13876353.71,840364.5589,1161680.044,457302.256,885565.5432,1047135.333,804832.1038,978865.9755,812358.5382,791081.7559,938078.1323,2307580.208,2303374.486,975762.0592,809108.2882,3781411.504,8705845.974,1970405.839,1688414.278,3247351.024,2418656.601,4654931.659,11178659.27,9759477.457,1531391.976,4100081.796,20352395.47,21011268.27,4436957.51,2373862.25,5686699.208
"sp|P01871|IGHM_HUMAN",950394.8104,1175637.948,1598094.868,1062789.059,1033216.612,2404540.652,1273084.294,2757014.114,2089823.43,1566750.205,14823349.81,7141205.249,15174213.76,7006960.991,8376572.954,18128786.41,7416725.194,6200794.539,7910637.654,11269670.72,14228223.55,38078414.16,5408751.842,5528697.836,14583345.7,8456697.209,9016628.737,18458290.94,12005000.29,14600373.52,12413438.49,5963371.873,15714005.68,11358365.16,17865937.56,27873068.05,12626836.4,10621312.62,15040467.77,16740406.01
"sp|P01876|IGHA1_HUMAN",607165.9359,807137.707,581998.7106,495646.1211,654306.8559,594906.8031,472685.1811,668539.1247,487841.1917,859461.9212,6473433.313,6194509.169,5291098.002,7982706.815,7052116.917,5470663.439,3938283.799,2633528.92,2236839.187,7971291.567,11072124.65,19911727.38,6869428.331,7512446.12,9231637.68,27120526.71,16566218.68,6207711.651,25111823.89,11676201.95,31041850.28,32097322.72,46815718.56,32301201.82,61880519.56,27027262.78,33515234.61,43041390.13,25374532.21,37706699.96
"sp|P01877|IGHA2_HUMAN",53991.56866,69014.57861,78462.08641,94467.53396,96386.3546,71341.62817,58534.65954,60457.96464,90722.67971,67913.59489,295446.6477,193617.8232,188030.9145,168395.8777,145953.3402,304966.2249,129602.3439,121270.2176,68115.75893,167228.0037,338733.113,583623.6428,286208.6371,337628.896,326414.5684,343730.0826,616808.6659,292551.3364,1740742.242,568333.8164,2540748.486,1077045.151,2326694.547,513594.312,2136259.916,4002692.105,1934326.736,4264147.739,2239254.589,2364700.956
"sp|P01880|IGHD_HUMAN",127483.263,381723.8387,189230.2353,152875.3632,145934.3585,238864.8144,370904.1213,120317.2559,242868.9389,294649.9294,149693.7739,238996.4942,190113.8176,514402.3373,454823.6763,179684.1187,240230.9172,116422.3744,96287.69102,152397.2196,84511.43164,916021.2025,146669.6272,363359.6419,207341.4198,281774.6818,180697.3783,557148.6817,351930.3214,155116.5301,232950.6521,278625.3625,1962217.254,245138.071,1010600.006,169355.0137,668701.0837,241145.8421,1271025.293,271454.5119
"sp|P02452|CO1A1_HUMAN",184424.5069,148436.1086,114459.6032,157234.6054,100042.9063,207419.0009,79433.26416,130124.8632,146244.6496,189260.9286,108858.2115,78664.90375,122054.9259,114273.8318,136753.424,75638.10853,122203.8231,119363.2402,110464.1985,91966.59428,90423.20491,50537.12734,96348.61828,83536.58289,67055.60634,96936.44048,34382.41414,67750.45056,47210.96977,82612.67694,24608.71078,18374.93593,19621.14543,11047.69909,17190.06686,18769.31547,24314.65934,9815.611745,12052.15169,17895.85449
"sp|P02647|APOA1_HUMAN",188058968.4,240199900,179264062.8,158271409.3,149135807.5,191472377.2,213373138.1,224525346.4,206660517.9,252524852,327666005.5,245608740.4,280496413.4,275233986.3,324086619.8,297310622.7,238220586.5,291362829.8,281336246.5,236796754.6,253099223.9,280171351.4,270049774.9,279096429.9,242339949.6,256180511.3,245745498.8,282731761.7,301884639.2,237298803.5,273612157.5,253908873.9,264995738.3,272108830,342380198.6,289726303.5,294720784.8,256999815.1,276150583.8,263353342.6
"sp|P02649|APOE_HUMAN",13542483.12,19469142.01,13895201.33,8106330.696,10340986.27,22606423.39,7525394.438,25277813.17,13176001.97,21551504.73,6237508.328,6926544.332,6011324.757,5254988.43,7164394.634,9226898.545,7665035.907,6091744.128,6713590.226,6302526.312,7434972.104,9396427.345,7791106.545,8788421.414,7105799.447,6389111.297,9710016.686,9347612.937,7283602.924,9444001.544,6183308.534,4725518.127,4627260.823,6123756.929,5543116.292,6210904.708,5815978.409,6931777.347,3549600.277,4520082.576
"sp|P02652|APOA2_HUMAN",12648561.29,8314441.864,12920520.28,9051424.676,10650852.22,10664939.29,13402146.62,12369930.09,12492251.05,12641037.69,20375294.79,19169507.58,15508047.59,18819145,18229910.96,20942335.87,19887120.75,21743012.18,19507281.64,19260584.54,15481299.58,18136573.12,12243180.62,11994860.99,16961157.5,16220141.49,15751702.94,17302943.82,17139574.01,15808196.96,19165839.93,16901638.83,18974583.6,17727666.31,24643236.91,20007205.99,15754786.92,15723249.18,18107394.72,15712418.87
"sp|P02654|APOC1_HUMAN",1954149.609,4418656.835,723707.6034,3280787.629,2753986.57,4938440.648,1239795.597,6120450.014,3463201.301,3640675.874,4404994.831,3580416.068,4289697.103,4491688.332,5957941.202,6685007.957,4860504.596,4822596.927,5356148.978,1308900.919,5809079.351,6599382.47,6519111.434,6512573.094,5596600.522,1228017.186,6957265.139,6430165.842,1151657.689,4840841.261,3631578.396,5486598.248,1281939.462,5004803.763,5766954.884,6546769.307,1217475.384,6862744.534,3858678.378,5859975.511
"sp|P02655|APOC2_HUMAN",764632.3489,725430.5145,566582.5418,605310.7722,830236.5031,1049840.669,979035.2419,1941977.288,1238127.063,929549.5306,625263.7311,466532.6595,510974.1613,556327.2609,541096.5676,1054953.763,931456.1227,708529.7524,1462821.594,433094.3753,769186.1875,1035633.402,1096647.284,840900.0588,1114697.021,839229.4934,791922.7078,610054.8334,414990.6112,821880.8577,393929.3291,702985.6205,437136.843,649915.8423,949392.1599,919609.9799,418798.8658,1259596.428,397797.4934,685484.6801
"sp|P02656|APOC3_HUMAN",7036992.036,15422606.73,9428431.916,8553670.845,6015467.167,14449825.96,8459534.653,17540149.03,16590599.38,17737555.36,9831590.15,7525849.953,7005538.069,6332125.245,9214541.826,10870679.04,7140759.217,10254807.36,10130757.33,7136722.954,8157259.059,10534766.57,10497508.53,11046817.96,11941436.27,9002561.014,9197617.117,9075065.76,6658761.57,9112894.401,9242403.52,9052405.513,9863291.683,11309567.2,14233574.91,12835407.82,9242440.796,12365742.55,8142970.812,12419475.26
"sp|P02671|FIBA_HUMAN",126127631.3,166091997.9,146871283.7,161669373.9,109706063.6,134834232.8,123548068.5,195333506,147459131.8,141926235.9,96606483.19,78873235.05,109603331.9,78126514.04,97341935.61,96948316.5,104551988.4,98059328.35,93888678.4,86301406.2,160885199.6,127839943.6,119284667.2,126024727.7,113827582.4,136438140.2,130481871.4,133224142.2,124216545.7,137096342.9,132453204.6,135384888.2,168005618.9,99821935.67,106922752.8,123175491.7,108518820.8,136061761.2,100386197.1,130634072
"sp|P02675|FIBB_HUMAN",141258825.4,203191995.6,173255250,190158992,123770426.7,140530960,116707655.4,219097035.3,176780154.5,157109515,114373041.7,89006690.64,128771580,87249468.85,118212338.5,101918234,113854390.6,112685675.7,100457618.4,105756294.9,172013196.2,132436765.7,128960518.3,144535110,118647764.6,150433174.1,134636536.1,145512516.5,126580824.3,147542244.7,139229351.2,134615510.8,177319855.5,100366373.9,106338942.3,124402611,109079397.4,139498010,99279606.94,128494665.1
